"Benchmark","ReplacementPolicy","Min:Max GPU Partition Size","L2 Size","L2 Accesses","L2 Replacements","Speedup","Committed Insts","Simulation Time","L2 Hit Rate","# Cycles"
"backprop","LRU","-1:-1","256kB","1454638","439214","1.0","200000000","1911.07","0.44867657795272775","784761685"
"backprop","Bypass","-1:-1","256kB","1528520","389898","0.9983359110837202","200000000","1941.06","0.42519561405804307","786069775"
"backprop","SP_static","1:3","256kB","1453905","398543","1.0003970296471387","200000000","1862.49","0.4494777856875105","784450235"
"backprop","SP_static","1:5","256kB","1455476","420388","1.000317598498507","200000000","1871.47","0.4490867592457725","784512525"
"backprop","SP_static","3:5","256kB","1456372","420910","0.9948196206738468","200000000","1879.28","0.4237097389952567","788848218"
"backprop","SP_static","4:4","256kB","1454215","408022","0.9950278674785689","200000000","1906.03","0.4232922917175246","788683122"
"bfs","LRU","-1:-1","256kB","44577","11286","1.0","200000001","1007.95","0.6887183973798147","703625663"
"bfs","Bypass","-1:-1","256kB","44577","11286","1.0","200000001","981.84","0.6887183973798147","703625663"
"bfs","SP_static","1:3","256kB","44577","11286","1.0","200000001","1036.92","0.6887183973798147","703625663"
"bfs","SP_static","1:5","256kB","44577","11286","1.0","200000001","988.52","0.6887183973798147","703625663"
"bfs","SP_static","3:5","256kB","44577","11286","1.0","200000001","1067.60","0.6887183973798147","703625663"
"bfs","SP_static","4:4","256kB","44577","11286","1.0","200000001","992.71","0.6887183973798147","703625663"
"nw","LRU","-1:-1","256kB","2176588","901610","1.0","51373532","2106.30","0.005851819453199228","291474395"
"nw","Bypass","-1:-1","256kB","2174310","711724","0.99027611894316","51373532","2303.58","0.006166094071222595","294336488"
"nw","SP_static","1:3","256kB","2174412","759243","0.9994660188049163","51373532","2253.33","0.005927579501952712","291630120"
"nw","SP_static","1:5","256kB","2174254","819681","1.0000111400391507","51373532","2016.96","0.005873278834947527","291471148"
"nw","SP_static","3:5","256kB","2174353","819115","0.9990399359669855","51373532","2253.03","0.005874391140720941","291754498"
"nw","SP_static","4:4","256kB","2174342","786573","0.9991245837157934","51373532","2042.72","0.005932829334115792","291729780"
"srad","LRU","-1:-1","256kB","125734","111715","1.0","200000000","916.92","0.00012725277172443412","714067389"
"srad","Bypass","-1:-1","256kB","125734","111715","1.0","200000000","871.22","0.00012725277172443412","714067389"
"srad","SP_static","1:3","256kB","125734","111715","1.0","200000000","901.41","0.00012725277172443412","714067389"
"srad","SP_static","1:5","256kB","125734","111715","1.0","200000000","943.58","0.00012725277172443412","714067389"
"srad","SP_static","3:5","256kB","125734","111715","1.0","200000000","924.78","0.00012725277172443412","714067389"
"srad","SP_static","4:4","256kB","125734","111715","1.0","200000000","923.27","0.00012725277172443412","714067389"
"strmcluster","LRU","-1:-1","256kB","122411","121961","1.0","200000001","863.82","2.4507601441046964e-05","692865959"
"strmcluster","Bypass","-1:-1","256kB","122411","121961","1.0","200000001","891.42","2.4507601441046964e-05","692865959"
"strmcluster","SP_static","1:3","256kB","122411","121961","1.0","200000001","906.72","2.4507601441046964e-05","692865959"
"strmcluster","SP_static","1:5","256kB","122411","121961","1.0","200000001","873.72","2.4507601441046964e-05","692865959"
"strmcluster","SP_static","3:5","256kB","122411","121961","1.0","200000001","876.53","2.4507601441046964e-05","692865959"
"strmcluster","SP_static","4:4","256kB","122411","121961","1.0","200000001","863.09","2.4507601441046964e-05","692865959"
